cod_ibge,code_muni,name,crs,crs2,cod_crs,macro,pop_15,pop_16,pop_17,pop_18,pop_19,pop_20,pop_21,pop_22,pop_23,code_state,abbrev_state,name_state
430673,4306734,Doutor Maurício Cardoso,14Âª CRS,14ª CRS,14,Missioneira,4.867,4.999,4960,4964,4920,4794,4795,4795,4795,43,RS,Rio Grande do Sul
430675,4306759,Doutor Ricardo,16Âª CRS,16ª CRS,16,Vales,1.967,1.999,2006,2000,1989,1991,1952,1952,1952,43,RS,Rio Grande do Sul
430676,4306767,Eldorado do Sul,01Âª CRS,01ª CRS,1,Metropolitana,37.667,38.036,38498,38988,39286,40104,41221,41221,41221,43,RS,Rio Grande do Sul
430680,4306809,Encantado,16Âª CRS,16ª CRS,16,Vales,21.841,21.961,22476,22673,23028,23226,23543,23543,23543,43,RS,Rio Grande do Sul
430690,4306908,Encruzilhada do Sul,08Âª CRS,08ª CRS,8,Vales,24.625,24.686,24084,24178,24086,23802,23591,23591,23591,43,RS,Rio Grande do Sul
430692,4306924,Engenho Velho,15Âª CRS,15ª CRS,15,Norte,1.595,1.534,1527,1521,1501,1511,1498,1498,1498,43,RS,Rio Grande do Sul
430695,4306932,Entre Rios do Sul,11Âª CRS,11ª CRS,11,Norte,3.059,3.034,3062,3054,3029,2980,2903,2903,2903,43,RS,Rio Grande do Sul
430693,4306957,Entre-Ijuís,12Âª CRS,12ª CRS,12,Missioneira,9.402,9.370,9231,9256,9271,9371,9272,9272,9272,43,RS,Rio Grande do Sul
430697,4306973,Erebango,11Âª CRS,11ª CRS,11,Norte,3.190,3.179,3141,3133,3123,3145,3124,3124,3124,43,RS,Rio Grande do Sul
430700,4307005,Erechim,11Âª CRS,11ª CRS,11,Norte,103.074,103.916,104706,105523,106603,107917,109459,109459,109459,43,RS,Rio Grande do Sul
430705,4307054,Ernestina,06Âª CRS,06ª CRS,6,Norte,3.075,3.184,3172,3159,3134,3134,3137,3137,3137,43,RS,Rio Grande do Sul
430720,4307302,Erval Grande,11Âª CRS,11ª CRS,11,Norte,4.985,5.053,5076,5111,5176,5139,5234,5234,5234,43,RS,Rio Grande do Sul
430730,4307401,Erval Seco,02Âª CRS,02ª CRS,2,Norte,7.714,7.648,7599,7525,7456,7402,7515,7515,7515,43,RS,Rio Grande do Sul
430740,4307450,Esmeralda,05Âª CRS,05ª CRS,5,Serra,3.297,3.301,3205,3272,3321,3281,3291,3291,3291,43,RS,Rio Grande do Sul
430745,4307500,Esperança do Sul,02Âª CRS,02ª CRS,2,Norte,3.511,3.460,3273,3279,3269,3279,3279,3279,3279,43,RS,Rio Grande do Sul
430750,4307559,Espumoso,06Âª CRS,06ª CRS,6,Norte,15.722,15.916,15630,15666,15701,15647,15694,15694,15694,43,RS,Rio Grande do Sul
430755,4307609,Estação,11Âª CRS,11ª CRS,11,Norte,6.198,6.148,6224,6291,6419,6366,6220,6220,6220,43,RS,Rio Grande do Sul
430760,4307708,Estância Velha,01Âª CRS,01ª CRS,1,Metropolitana,46.899,47.325,48191,49117,49421,49511,49776,49776,49776,43,RS,Rio Grande do Sul
430770,4307807,Esteio,01Âª CRS,01ª CRS,1,Metropolitana,85.161,85.226,84048,84509,85569,86236,86429,86429,86429,43,RS,Rio Grande do Sul
430780,4307815,Estrela,16Âª CRS,16ª CRS,16,Vales,33.291,33.415,34030,34277,34774,35199,35831,35831,35831,43,RS,Rio Grande do Sul
430781,4307831,Estrela Velha,08Âª CRS,08ª CRS,8,Vales,3.526,3.544,3592,3544,3522,3506,3469,3469,3469,43,RS,Rio Grande do Sul
430783,4307864,Eugênio de Castro,12Âª CRS,12ª CRS,12,Missioneira,2.921,2.865,2760,2752,2759,2745,2723,2723,2723,43,RS,Rio Grande do Sul
430786,4307906,Fagundes Varela,05Âª CRS,05ª CRS,5,Serra,2.589,2.622,2716,2772,2766,2736,2710,2710,2710,43,RS,Rio Grande do Sul
430790,4308003,Farroupilha,05Âª CRS,05ª CRS,5,Serra,69.040,69.535,69598,70485,71608,72214,72410,72410,72410,43,RS,Rio Grande do Sul
430800,4308052,Faxinal do Soturno,04Âª CRS,"04ª CRS",4,Centro-Oeste,6.617,6.621,6712,6705,6798,6896,7066,7066,7066,43,RS,Rio Grande do Sul
430805,4308078,Faxinalzinho,11Âª CRS,11ª CRS,11,Norte,2.769,2.740,2650,2588,2607,2553,2578,2578,2578,43,RS,Rio Grande do Sul
430807,4308102,Fazenda Vilanova,16Âª CRS,16ª CRS,16,Vales,4.303,4.322,4373,4400,4474,4482,4570,4570,4570,43,RS,Rio Grande do Sul
430810,4308201,Feliz,05Âª CRS,05ª CRS,5,Serra,13.490,13.550,13692,13914,14095,14333,14501,14501,14501,43,RS,Rio Grande do Sul
430820,4308250,Flores da Cunha,05Âª CRS,05ª CRS,5,Serra,29.349,29.650,30095,30843,31402,31864,32121,32121,32121,43,RS,Rio Grande do Sul
